Platform,Order_ID,Order_Date,Order_Status,Dining_Mode,Gross_Sales,Tax,GST,PST,Tip,Commission_Amount,Commission_Rate,Marketing_Fee,Promo_Cost_Restaurant,Promo_Cost_Platform,Service_Fee,Adjustments,Net_Payout,Payout_Date,Item_Count,Customer_Type,Prep_Time_Minutes,Delivery_Time_Minutes,Customer_Rating,POS_Transaction_ID
Uber Eats,UE-15767532,2026-02-07 19:22:31,Completed,Delivery,132.00,15.84,6.60,9.24,5.00,-39.60,0.30,-1.49,0.00,0.00,-0.50,0.00,90.41,2026-02-12,4,Returning,15.3,32.9,5.0,
Uber Eats,UE-28351307,2026-02-07 19:57:52,Completed,Delivery,44.00,5.28,2.20,3.08,5.00,-13.20,0.30,0.00,0.00,0.00,-0.50,0.00,30.30,2026-02-10,1,Returning,17.2,25.9,5.0,
DoorDash,DD-18216414,2026-02-07 20:18:23,Completed,Delivery,44.00,5.28,2.20,3.08,4.00,-11.00,0.25,-1.49,0.00,0.00,-1.00,0.00,30.51,2026-02-14,1,Returning,16.8,28.1,5.0,
Uber Eats,UE-66813135,2026-02-07 21:08:07,Completed,Delivery,62.00,7.44,3.10,4.34,0.00,-18.60,0.30,-1.99,0.00,0.00,0.00,0.00,41.41,2026-02-11,3,New,14.5,24.7,3.5,
DoorDash,DD-13341136,2026-02-07 21:54:44,Completed,Delivery,69.00,8.28,3.45,4.83,10.00,-17.25,0.25,-1.49,0.00,0.00,0.00,0.00,50.26,2026-02-11,2,Returning,20.1,34.4,4.5,
Uber Eats,UE-23245557,2026-02-08 11:05:32,Completed,Delivery,106.00,12.72,5.30,7.42,8.00,-31.80,0.30,-0.99,0.00,0.00,-1.50,0.00,71.71,2026-02-12,3,Returning,17.0,30.8,4.0,
Uber Eats,UE-52276832,2026-02-08 11:13:31,Completed,Delivery,19.00,2.28,0.95,1.33,10.00,-5.70,0.30,-0.99,0.00,0.00,-1.00,0.00,11.31,2026-02-11,1,New,19.7,31.5,4.0,
DoorDash,DD-88132657,2026-02-08 14:05:59,Completed,Delivery,59.00,7.08,2.95,4.13,5.00,-14.75,0.25,-1.49,0.00,0.00,-1.50,0.00,41.26,2026-02-15,2,New,8.3,31.5,5.0,
DoorDash,DD-67246720,2026-02-08 14:14:59,Completed,Delivery,88.00,10.56,4.40,6.16,0.00,-22.00,0.25,0.00,0.00,0.00,0.00,0.00,66.00,2026-02-15,3,New,14.2,27.2,4.5,
Uber Eats,UE-90921618,2026-02-08 15:05:55,Completed,Delivery,94.00,11.28,4.70,6.58,7.00,-28.20,0.30,0.00,0.00,0.00,0.00,0.00,65.80,2026-02-15,3,Returning,9.5,42.1,4.5,
DoorDash,DD-13945653,2026-02-08 15:32:02,Completed,Delivery,45.00,5.40,2.25,3.15,6.00,-11.25,0.25,-1.49,0.00,0.00,-1.50,0.00,30.76,2026-02-15,2,Returning,13.9,40.7,4.0,
Uber Eats,UE-63543172,2026-02-08 15:34:19,Completed,Delivery,63.00,7.56,3.15,4.41,0.00,-18.90,0.30,0.00,0.00,0.00,-1.00,0.00,43.10,2026-02-11,2,New,19.3,32.4,,
Uber Eats,UE-90969140,2026-02-08 15:55:39,Completed,Delivery,111.00,13.32,5.55,7.77,6.00,-33.30,0.30,-1.49,0.00,0.00,0.00,0.00,76.21,2026-02-11,3,Returning,21.0,40.5,4.5,
DoorDash,DD-81697718,2026-02-08 17:08:37,Completed,Delivery,41.00,4.92,2.05,2.87,3.00,-10.25,0.25,0.00,0.00,0.00,-1.00,0.00,29.75,2026-02-13,1,Returning,11.7,26.1,5.0,
Uber Eats,UE-72377738,2026-02-08 17:50:38,Completed,Delivery,92.00,11.04,4.60,6.44,3.00,-27.60,0.30,-1.99,0.00,0.00,0.00,0.00,62.41,2026-02-13,2,Returning,13.3,19.8,,
Uber Eats,UE-77237124,2026-02-08 18:16:24,Completed,Delivery,86.00,10.32,4.30,6.02,0.00,-25.80,0.30,-0.99,0.00,0.00,-0.50,0.00,58.71,2026-02-11,3,New,9.3,31.9,5.0,
DoorDash,DD-90634218,2026-02-08 18:50:25,Completed,Delivery,113.00,13.56,5.65,7.91,3.00,-28.25,0.25,-1.99,-3.00,2.00,-1.00,0.00,80.76,2026-02-12,4,Returning,12.4,30.5,4.0,
Uber Eats,UE-27255142,2026-02-08 18:54:25,Completed,Delivery,100.00,12.00,5.00,7.00,4.00,-30.00,0.30,-1.99,-3.00,3.00,0.00,0.00,68.01,2026-02-11,3,Returning,21.3,26.3,5.0,
DoorDash,DD-52570338,2026-02-08 19:02:04,Completed,Delivery,92.00,11.04,4.60,6.44,0.00,-23.00,0.25,0.00,0.00,0.00,-1.50,-10.92,56.58,2026-02-11,2,Returning,9.9,44.4,3.0,
Uber Eats,UE-58554241,2026-02-08 19:04:56,Completed,Delivery,139.00,16.68,6.95,9.73,3.00,-41.70,0.30,0.00,0.00,0.00,0.00,0.00,97.30,2026-02-11,4,Returning,16.6,43.3,5.0,
Uber Eats,UE-42203207,2026-02-08 19:20:07,Completed,Delivery,68.00,8.16,3.40,4.76,10.00,-20.40,0.30,0.00,0.00,0.00,0.00,0.00,47.60,2026-02-13,2,Returning,11.6,29.2,5.0,
DoorDash,DD-17836393,2026-02-08 19:40:58,Completed,Delivery,45.00,5.40,2.25,3.15,7.00,-11.25,0.25,0.00,0.00,0.00,-1.00,0.00,32.75,2026-02-11,2,New,15.0,31.7,5.0,
DoorDash,DD-37025750,2026-02-08 19:56:33,Completed,Delivery,37.00,4.44,1.85,2.59,0.00,-9.25,0.25,0.00,0.00,0.00,-1.00,0.00,26.75,2026-02-13,2,New,19.1,23.4,,
Uber Eats,UE-69151379,2026-02-08 20:51:20,Completed,Delivery,70.00,8.40,3.50,4.90,7.00,-21.00,0.30,-1.49,0.00,0.00,-1.00,0.00,46.51,2026-02-11,3,New,11.5,33.7,5.0,
Uber Eats,UE-51063923,2026-02-08 21:50:42,Completed,Delivery,77.00,9.24,3.85,5.39,8.00,-23.10,0.30,-0.99,0.00,0.00,-1.50,0.00,51.41,2026-02-13,3,Returning,17.7,27.8,4.5,
DoorDash,DD-33474332,2026-02-09 11:16:29,Completed,Delivery,123.00,14.76,6.15,8.61,3.00,-30.75,0.25,0.00,0.00,0.00,-1.00,0.00,91.25,2026-02-12,3,New,14.2,42.6,4.0,
DoorDash,DD-68068111,2026-02-09 12:22:17,Completed,Delivery,73.00,8.76,3.65,5.11,10.00,-18.25,0.25,-1.49,0.00,0.00,-1.50,0.00,51.76,2026-02-14,2,Returning,12.4,40.0,5.0,
Uber Eats,UE-99693062,2026-02-09 16:35:02,Completed,Delivery,68.00,8.16,3.40,4.76,7.00,-20.40,0.30,-1.99,0.00,0.00,0.00,0.00,45.61,2026-02-12,2,Returning,16.9,24.9,5.0,
Uber Eats,UE-47265405,2026-02-09 18:29:24,Completed,Delivery,120.00,14.40,6.00,8.40,4.00,-36.00,0.30,-0.99,0.00,0.00,-0.50,0.00,82.51,2026-02-12,4,Returning,17.1,30.6,4.5,
Uber Eats,UE-94333163,2026-02-09 19:05:56,Completed,Delivery,63.00,7.56,3.15,4.41,0.00,-18.90,0.30,0.00,0.00,0.00,-1.00,0.00,43.10,2026-02-14,2,New,17.2,20.4,5.0,
Uber Eats,UE-10672050,2026-02-09 19:49:23,Completed,Delivery,45.00,5.40,2.25,3.15,7.00,-13.50,0.30,-1.99,0.00,0.00,0.00,0.00,29.51,2026-02-12,2,New,10.9,32.8,4.5,
DoorDash,DD-69145384,2026-02-09 19:51:18,Completed,Delivery,136.00,16.32,6.80,9.52,7.00,-34.00,0.25,-0.99,0.00,0.00,-0.50,0.00,100.51,2026-02-14,4,Returning,15.3,31.5,5.0,
Uber Eats,UE-71666393,2026-02-09 19:51:43,Completed,Delivery,93.00,11.16,4.65,6.51,6.00,-27.90,0.30,0.00,0.00,0.00,0.00,0.00,65.10,2026-02-12,4,Returning,20.8,18.1,3.5,
Uber Eats,UE-55191883,2026-02-09 20:15:04,Completed,Delivery,27.00,3.24,1.35,1.89,6.00,-8.10,0.30,0.00,-3.00,1.00,0.00,0.00,16.90,2026-02-13,1,Returning,15.5,23.9,5.0,
Uber Eats,UE-53979834,2026-02-09 21:55:32,Completed,Delivery,129.00,15.48,6.45,9.03,0.00,-38.70,0.30,-0.99,0.00,0.00,-1.00,0.00,88.31,2026-02-12,4,Returning,15.7,41.7,5.0,
Uber Eats,UE-52933182,2026-02-10 11:04:17,Completed,Delivery,85.00,10.20,4.25,5.95,3.00,-25.50,0.30,-1.99,0.00,0.00,-1.50,0.00,56.01,2026-02-14,3,Returning,9.8,32.5,,
Uber Eats,UE-78106119,2026-02-10 12:23:22,Canceled,Delivery,46.00,5.52,2.30,3.22,7.00,0.00,0.30,0.00,-5.00,2.00,-1.00,0.00,0.00,2026-02-15,2,Returning,20.1,33.4,5.0,
DoorDash,DD-35893710,2026-02-10 13:46:25,Completed,Delivery,61.00,7.32,3.05,4.27,7.00,-15.25,0.25,0.00,0.00,0.00,-1.50,0.00,44.25,2026-02-17,2,Returning,14.2,29.6,,
DoorDash,DD-73777689,2026-02-10 14:08:44,Completed,Delivery,18.00,2.16,0.90,1.26,10.00,-4.50,0.25,-0.99,0.00,0.00,-1.00,0.00,11.51,2026-02-13,1,Returning,21.3,23.7,4.0,
Uber Eats,UE-42433524,2026-02-10 14:54:08,Completed,Delivery,37.00,4.44,1.85,2.59,10.00,-11.10,0.30,-1.99,0.00,0.00,-1.00,0.00,22.91,2026-02-13,2,Returning,11.5,34.0,4.5,
Uber Eats,UE-36427030,2026-02-10 15:19:21,Canceled,Delivery,122.00,14.64,6.10,8.54,4.00,0.00,0.30,0.00,-5.00,1.00,-1.50,0.00,0.00,2026-02-14,4,Returning,8.3,28.3,4.5,
Uber Eats,UE-52673751,2026-02-10 16:12:30,Canceled,Delivery,62.00,7.44,3.10,4.34,4.00,0.00,0.30,-0.99,0.00,0.00,0.00,0.00,0.00,2026-02-15,2,Returning,21.5,39.3,5.0,
Uber Eats,UE-95208944,2026-02-10 17:44:31,Completed,Delivery,58.00,6.96,2.90,4.06,10.00,-17.40,0.30,0.00,0.00,0.00,0.00,0.00,40.60,2026-02-17,2,Returning,17.5,20.5,5.0,
Uber Eats,UE-20140011,2026-02-10 17:59:19,Completed,Delivery,69.00,8.28,3.45,4.83,8.00,-20.70,0.30,0.00,0.00,0.00,-0.50,0.00,47.80,2026-02-13,2,Returning,12.3,21.5,3.0,
Uber Eats,UE-76802629,2026-02-10 18:15:51,Completed,Delivery,89.00,10.68,4.45,6.23,3.00,-26.70,0.30,0.00,0.00,0.00,-1.00,0.00,61.30,2026-02-13,3,New,19.9,31.7,4.5,
Uber Eats,UE-89042474,2026-02-10 18:49:51,Completed,Delivery,44.00,5.28,2.20,3.08,4.00,-13.20,0.30,-1.99,0.00,0.00,-1.00,0.00,27.81,2026-02-15,1,Returning,17.9,40.1,,
DoorDash,DD-87658910,2026-02-10 19:07:07,Completed,Delivery,103.00,12.36,5.15,7.21,6.00,-25.75,0.25,-1.49,0.00,0.00,-1.50,0.00,74.26,2026-02-17,3,New,11.2,28.5,4.0,
Uber Eats,UE-98573315,2026-02-10 20:35:05,Completed,Delivery,108.00,12.96,5.40,7.56,10.00,-32.40,0.30,0.00,0.00,0.00,-1.50,0.00,74.10,2026-02-14,3,Returning,20.0,31.2,3.5,
DoorDash,DD-34869448,2026-02-10 21:01:03,Completed,Delivery,108.00,12.96,5.40,7.56,4.00,-27.00,0.25,0.00,0.00,0.00,-1.50,0.00,79.50,2026-02-13,3,Returning,20.9,19.5,4.0,
DoorDash,DD-17683407,2026-02-10 21:36:36,Completed,Delivery,91.00,10.92,4.55,6.37,3.00,-22.75,0.25,-0.99,0.00,0.00,-0.50,0.00,66.76,2026-02-17,3,Returning,9.0,43.4,4.0,
DoorDash,DD-64368388,2026-02-11 11:41:20,Completed,Delivery,19.00,2.28,0.95,1.33,3.00,-4.75,0.25,0.00,0.00,0.00,0.00,0.00,14.25,2026-02-18,1,Returning,10.9,22.7,3.0,
Uber Eats,UE-71579702,2026-02-11 12:26:36,Completed,Delivery,94.00,11.28,4.70,6.58,4.00,-28.20,0.30,-0.99,0.00,0.00,-1.50,0.00,63.31,2026-02-18,3,New,14.5,36.1,3.5,
DoorDash,DD-47074359,2026-02-11 13:20:49,Completed,Delivery,116.00,13.92,5.80,8.12,0.00,-29.00,0.25,0.00,0.00,0.00,-1.50,0.00,85.50,2026-02-14,4,Returning,12.4,33.7,4.5,
Uber Eats,UE-50413577,2026-02-11 16:28:11,Completed,Delivery,114.00,13.68,5.70,7.98,8.00,-34.20,0.30,-1.49,0.00,0.00,-0.50,0.00,77.81,2026-02-14,3,Returning,20.4,22.8,4.5,
Uber Eats,UE-76702422,2026-02-11 16:56:46,Completed,Delivery,85.00,10.20,4.25,5.95,7.00,-25.50,0.30,0.00,0.00,0.00,-1.50,0.00,58.00,2026-02-14,2,New,19.1,34.1,3.5,
Uber Eats,UE-16346590,2026-02-11 17:09:26,Completed,Delivery,71.00,8.52,3.55,4.97,3.00,-21.30,0.30,-1.49,0.00,0.00,0.00,0.00,48.21,2026-02-14,2,Returning,9.2,38.7,4.5,
DoorDash,DD-59322080,2026-02-11 18:22:21,Completed,Delivery,114.00,13.68,5.70,7.98,4.00,-28.50,0.25,-0.99,0.00,0.00,-0.50,0.00,84.01,2026-02-16,3,Returning,11.2,39.4,4.5,
Uber Eats,UE-78410844,2026-02-11 18:38:59,Completed,Delivery,45.00,5.40,2.25,3.15,10.00,-13.50,0.30,0.00,-3.00,3.00,-0.50,0.00,31.00,2026-02-16,2,Returning,20.1,33.6,5.0,
DoorDash,DD-14541654,2026-02-11 18:57:51,Completed,Delivery,66.00,7.92,3.30,4.62,10.00,-16.50,0.25,0.00,0.00,0.00,0.00,0.00,49.50,2026-02-16,2,Returning,17.6,26.6,,
Uber Eats,UE-28133441,2026-02-11 19:07:20,Completed,Delivery,116.00,13.92,5.80,8.12,4.00,-34.80,0.30,0.00,0.00,0.00,0.00,0.00,81.20,2026-02-14,3,New,16.6,25.4,4.0,
Uber Eats,UE-30552534,2026-02-11 19:42:19,Completed,Delivery,86.00,10.32,4.30,6.02,8.00,-25.80,0.30,0.00,0.00,0.00,0.00,0.00,60.20,2026-02-14,2,New,8.5,40.0,4.5,
Uber Eats,UE-49184057,2026-02-11 19:46:10,Completed,Delivery,94.00,11.28,4.70,6.58,10.00,-28.20,0.30,-0.99,0.00,0.00,0.00,0.00,64.81,2026-02-18,4,Returning,11.1,24.6,3.5,
DoorDash,DD-15628280,2026-02-12 11:03:52,Completed,Delivery,113.00,13.56,5.65,7.91,3.00,-28.25,0.25,-1.49,0.00,0.00,-0.50,0.00,82.76,2026-02-15,4,Returning,11.9,21.8,3.0,
Uber Eats,UE-47690968,2026-02-12 12:24:38,Completed,Delivery,59.00,7.08,2.95,4.13,6.00,-17.70,0.30,-1.49,-3.00,3.00,-0.50,0.00,39.31,2026-02-16,2,New,10.3,41.5,5.0,
DoorDash,DD-94597121,2026-02-12 12:34:29,Completed,Delivery,116.00,13.92,5.80,8.12,3.00,-29.00,0.25,-1.49,0.00,0.00,-0.50,0.00,85.01,2026-02-19,3,Returning,15.4,31.2,5.0,
Uber Eats,UE-41516649,2026-02-12 14:15:34,Completed,Delivery,43.00,5.16,2.15,3.01,6.00,-12.90,0.30,-0.99,-7.00,1.00,-1.00,0.00,22.11,2026-02-19,2,Returning,12.4,42.8,4.5,
Uber Eats,UE-48446490,2026-02-12 14:48:51,Completed,Delivery,43.00,5.16,2.15,3.01,4.00,-12.90,0.30,0.00,0.00,0.00,-0.50,0.00,29.60,2026-02-19,1,New,13.1,20.9,4.5,
DoorDash,DD-13836739,2026-02-12 18:54:22,Completed,Delivery,104.00,12.48,5.20,7.28,3.00,-26.00,0.25,0.00,0.00,0.00,-1.50,0.00,76.50,2026-02-16,3,Returning,9.8,22.6,4.5,
Uber Eats,UE-67910373,2026-02-12 18:55:53,Completed,Delivery,68.00,8.16,3.40,4.76,8.00,-20.40,0.30,-0.99,0.00,0.00,-0.50,0.00,46.11,2026-02-15,2,Returning,16.9,20.1,4.5,
Uber Eats,UE-65452894,2026-02-12 18:59:52,Canceled,Delivery,107.00,12.84,5.35,7.49,0.00,0.00,0.30,0.00,0.00,0.00,-1.50,0.00,0.00,2026-02-19,3,Returning,10.3,18.2,3.5,
Uber Eats,UE-24864870,2026-02-12 19:17:09,Completed,Delivery,52.00,6.24,2.60,3.64,0.00,-15.60,0.30,-1.49,0.00,0.00,0.00,0.00,34.91,2026-02-15,2,Returning,8.5,28.5,5.0,
Uber Eats,UE-75325467,2026-02-12 21:41:33,Completed,Delivery,85.00,10.20,4.25,5.95,8.00,-25.50,0.30,-1.99,0.00,0.00,-1.50,0.00,56.01,2026-02-16,2,New,19.5,30.1,4.0,
Uber Eats,UE-39923318,2026-02-13 11:47:14,Completed,Delivery,38.00,4.56,1.90,2.66,3.00,-11.40,0.30,0.00,0.00,0.00,-1.50,0.00,25.10,2026-02-20,2,Returning,14.1,44.7,,
Uber Eats,UE-67038679,2026-02-13 12:03:10,Completed,Delivery,110.00,13.20,5.50,7.70,7.00,-33.00,0.30,0.00,0.00,0.00,-1.00,0.00,76.00,2026-02-18,3,Returning,17.8,26.9,4.5,
DoorDash,DD-51195401,2026-02-13 12:15:28,Completed,Delivery,50.00,6.00,2.50,3.50,8.00,-12.50,0.25,-1.99,0.00,0.00,-0.50,0.00,35.01,2026-02-18,2,Returning,12.3,34.8,4.5,
DoorDash,DD-33444571,2026-02-13 13:05:12,Completed,Delivery,89.00,10.68,4.45,6.23,0.00,-22.25,0.25,0.00,0.00,0.00,0.00,0.00,66.75,2026-02-18,3,Returning,13.5,20.1,4.5,
Uber Eats,UE-92156468,2026-02-13 13:14:08,Completed,Delivery,126.00,15.12,6.30,8.82,0.00,-37.80,0.30,-1.99,0.00,0.00,0.00,0.00,86.21,2026-02-17,4,Returning,21.2,32.5,4.5,
DoorDash,DD-10197681,2026-02-13 13:56:32,Completed,Delivery,79.00,9.48,3.95,5.53,6.00,-19.75,0.25,-1.99,-5.00,1.00,-1.00,0.00,52.26,2026-02-16,2,New,17.7,40.5,5.0,
DoorDash,DD-88575446,2026-02-13 13:56:43,Completed,Delivery,76.00,9.12,3.80,5.32,6.00,-19.00,0.25,-1.49,0.00,0.00,0.00,0.00,55.51,2026-02-18,3,New,19.8,31.0,4.5,
DoorDash,DD-55530772,2026-02-13 14:27:54,Completed,Delivery,37.00,4.44,1.85,2.59,7.00,-9.25,0.25,0.00,0.00,0.00,0.00,0.00,27.75,2026-02-17,2,New,13.4,27.7,5.0,
Uber Eats,UE-49695558,2026-02-13 14:49:17,Completed,Delivery,76.00,9.12,3.80,5.32,10.00,-22.80,0.30,0.00,0.00,0.00,0.00,0.00,53.20,2026-02-17,2,Returning,10.1,39.8,5.0,
Uber Eats,UE-50882728,2026-02-13 14:51:43,Completed,Delivery,114.00,13.68,5.70,7.98,3.00,-34.20,0.30,-1.99,-5.00,1.00,-0.50,0.00,73.31,2026-02-18,3,Returning,14.6,24.9,3.5,
Uber Eats,UE-77885230,2026-02-13 15:50:18,Completed,Delivery,59.00,7.08,2.95,4.13,8.00,-17.70,0.30,0.00,0.00,0.00,0.00,0.00,41.30,2026-02-20,2,Returning,18.4,24.4,5.0,
Uber Eats,UE-91029297,2026-02-13 16:55:02,Completed,Delivery,52.00,6.24,2.60,3.64,8.00,-15.60,0.30,-1.99,0.00,0.00,0.00,0.00,34.41,2026-02-20,2,Returning,15.9,43.5,4.5,
Uber Eats,UE-73244549,2026-02-13 17:05:19,Completed,Delivery,66.00,7.92,3.30,4.62,8.00,-19.80,0.30,-1.99,-7.00,3.00,0.00,0.00,40.21,2026-02-20,2,New,14.8,23.7,4.0,
Uber Eats,UE-24386795,2026-02-13 17:06:25,Completed,Delivery,76.00,9.12,3.80,5.32,10.00,-22.80,0.30,0.00,0.00,0.00,-1.00,0.00,52.20,2026-02-20,2,Returning,15.7,33.5,5.0,
Uber Eats,UE-99929855,2026-02-13 17:08:26,Completed,Delivery,43.00,5.16,2.15,3.01,5.00,-12.90,0.30,0.00,-3.00,2.00,0.00,0.00,29.10,2026-02-17,1,New,11.0,30.0,4.5,
Uber Eats,UE-25113111,2026-02-13 17:57:01,Completed,Delivery,86.00,10.32,4.30,6.02,6.00,-25.80,0.30,0.00,0.00,0.00,0.00,0.00,60.20,2026-02-18,3,New,10.0,22.0,4.5,
Uber Eats,UE-28044741,2026-02-13 18:00:20,Completed,Delivery,85.00,10.20,4.25,5.95,4.00,-25.50,0.30,-1.99,0.00,0.00,-1.00,0.00,56.51,2026-02-17,2,New,10.1,19.7,5.0,
Uber Eats,UE-63771232,2026-02-13 18:36:42,Completed,Delivery,50.00,6.00,2.50,3.50,0.00,-15.00,0.30,0.00,0.00,0.00,-0.50,0.00,34.50,2026-02-18,2,Returning,21.6,33.5,4.0,
DoorDash,DD-67269556,2026-02-13 18:46:41,Completed,Delivery,32.00,3.84,1.60,2.24,3.00,-8.00,0.25,0.00,-3.00,3.00,-0.50,0.00,23.50,2026-02-16,1,Returning,20.2,31.3,4.5,
Uber Eats,UE-41735390,2026-02-13 21:15:41,Completed,Delivery,79.00,9.48,3.95,5.53,5.00,-23.70,0.30,0.00,0.00,0.00,0.00,0.00,55.30,2026-02-18,3,Returning,21.3,26.6,4.5,
Uber Eats,UE-47194475,2026-02-13 21:45:45,Completed,Delivery,92.00,11.04,4.60,6.44,4.00,-27.60,0.30,-1.49,0.00,0.00,-1.50,0.00,61.41,2026-02-17,2,Returning,8.3,20.0,4.5,
DoorDash,DD-76533629,2026-02-13 21:51:33,Completed,Delivery,20.00,2.40,1.00,1.40,6.00,-5.00,0.25,-1.49,0.00,0.00,-1.50,0.00,12.01,2026-02-18,1,Returning,10.6,35.1,5.0,
DoorDash,DD-42632565,2026-02-13 21:51:54,Completed,Delivery,61.00,7.32,3.05,4.27,4.00,-15.25,0.25,-1.49,0.00,0.00,-1.50,0.00,42.76,2026-02-16,2,Returning,11.3,31.6,4.5,
Uber Eats,UE-92115952,2026-02-14 11:17:41,Completed,Delivery,75.00,9.00,3.75,5.25,0.00,-22.50,0.30,0.00,0.00,0.00,-1.50,0.00,51.00,2026-02-21,2,Returning,13.2,36.0,4.5,
DoorDash,DD-91244499,2026-02-14 11:24:32,Completed,Delivery,76.00,9.12,3.80,5.32,3.00,-19.00,0.25,-0.99,0.00,0.00,0.00,0.00,56.01,2026-02-21,2,Returning,11.4,44.2,4.0,
Uber Eats,UE-42381060,2026-02-14 11:47:50,Completed,Delivery,68.00,8.16,3.40,4.76,0.00,-20.40,0.30,0.00,0.00,0.00,-0.50,0.00,47.10,2026-02-17,2,Returning,19.1,24.5,4.0,
Uber Eats,UE-28091505,2026-02-14 11:51:16,Completed,Delivery,79.00,9.48,3.95,5.53,0.00,-23.70,0.30,0.00,0.00,0.00,0.00,0.00,55.30,2026-02-21,3,Returning,19.3,18.8,4.5,
Uber Eats,UE-93580297,2026-02-14 12:03:25,Completed,Delivery,20.00,2.40,1.00,1.40,10.00,-6.00,0.30,-0.99,0.00,0.00,-0.50,0.00,12.51,2026-02-17,1,Returning,21.9,20.9,5.0,
Uber Eats,UE-44581797,2026-02-14 12:38:59,Completed,Delivery,18.00,2.16,0.90,1.26,10.00,-5.40,0.30,-1.49,0.00,0.00,0.00,0.00,11.11,2026-02-19,1,Returning,19.5,21.7,5.0,
Uber Eats,UE-60872376,2026-02-14 12:48:00,Completed,Delivery,93.00,11.16,4.65,6.51,4.00,-27.90,0.30,-1.99,-7.00,3.00,0.00,0.00,59.11,2026-02-17,3,Returning,13.4,24.8,5.0,
DoorDash,DD-13255556,2026-02-14 13:25:22,Completed,Delivery,130.00,15.60,6.50,9.10,3.00,-32.50,0.25,-0.99,0.00,0.00,-1.00,0.00,95.51,2026-02-18,4,Returning,15.3,33.7,4.5,
DoorDash,DD-23980291,2026-02-14 14:35:06,Completed,Delivery,60.00,7.20,3.00,4.20,10.00,-15.00,0.25,-0.99,0.00,0.00,-1.00,0.00,43.01,2026-02-17,2,Returning,9.5,33.9,4.0,
Uber Eats,UE-16212314,2026-02-14 15:21:19,Completed,Delivery,43.00,5.16,2.15,3.01,10.00,-12.90,0.30,0.00,0.00,0.00,-1.50,0.00,28.60,2026-02-18,1,New,20.1,36.7,4.0,
DoorDash,DD-61975876,2026-02-14 15:38:29,Canceled,Delivery,27.00,3.24,1.35,1.89,0.00,0.00,0.25,0.00,0.00,0.00,-1.00,0.00,0.00,2026-02-19,1,New,19.4,39.4,,
DoorDash,DD-90539710,2026-02-14 16:00:54,Completed,Delivery,65.00,7.80,3.25,4.55,4.00,-16.25,0.25,-1.99,0.00,0.00,-1.50,0.00,45.26,2026-02-19,2,Returning,16.6,25.0,4.5,
DoorDash,DD-63134202,2026-02-14 16:19:13,Completed,Delivery,81.00,9.72,4.05,5.67,3.00,-20.25,0.25,0.00,0.00,0.00,-1.50,0.00,59.25,2026-02-17,3,Returning,21.1,18.3,5.0,
Uber Eats,UE-70970707,2026-02-14 16:45:51,Completed,Delivery,48.00,5.76,2.40,3.36,5.00,-14.40,0.30,0.00,0.00,0.00,0.00,0.00,33.60,2026-02-19,1,Returning,19.9,25.2,5.0,
Uber Eats,UE-22148396,2026-02-14 18:16:26,Completed,Delivery,93.00,11.16,4.65,6.51,0.00,-27.90,0.30,-1.49,0.00,0.00,0.00,-9.31,54.30,2026-02-18,3,Returning,17.2,37.5,5.0,
DoorDash,DD-26547460,2026-02-14 18:35:31,Completed,Delivery,134.00,16.08,6.70,9.38,3.00,-33.50,0.25,0.00,-7.00,1.00,-0.50,0.00,94.00,2026-02-21,4,Returning,13.3,40.3,4.5,
DoorDash,DD-55623813,2026-02-14 18:38:20,Completed,Delivery,89.00,10.68,4.45,6.23,10.00,-22.25,0.25,0.00,0.00,0.00,0.00,0.00,66.75,2026-02-17,3,New,17.8,42.8,4.5,
Uber Eats,UE-43187769,2026-02-14 18:59:51,Completed,Delivery,64.00,7.68,3.20,4.48,10.00,-19.20,0.30,-0.99,-3.00,1.00,-1.00,0.00,40.81,2026-02-17,3,New,8.7,29.2,4.5,
Uber Eats,UE-39923300,2026-02-14 19:07:43,Canceled,Delivery,46.00,5.52,2.30,3.22,8.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,2026-02-19,2,Returning,9.7,26.4,4.5,
Uber Eats,UE-98618818,2026-02-14 19:13:26,Completed,Delivery,48.00,5.76,2.40,3.36,7.00,-14.40,0.30,-1.49,0.00,0.00,-1.00,0.00,31.11,2026-02-18,1,Returning,9.4,40.0,4.0,
DoorDash,DD-90788330,2026-02-14 20:02:16,Completed,Delivery,113.00,13.56,5.65,7.91,10.00,-28.25,0.25,0.00,0.00,0.00,-1.00,0.00,83.75,2026-02-21,4,Returning,20.1,28.1,4.5,
DoorDash,DD-31066087,2026-02-14 21:01:02,Completed,Delivery,94.00,11.28,4.70,6.58,8.00,-23.50,0.25,0.00,0.00,0.00,-1.00,0.00,69.50,2026-02-19,3,Returning,13.1,22.2,4.5,
Uber Eats,UE-33630438,2026-02-14 21:06:12,Completed,Delivery,61.00,7.32,3.05,4.27,5.00,-18.30,0.30,-1.99,0.00,0.00,-1.00,0.00,39.71,2026-02-21,2,Returning,19.0,33.6,4.5,
DoorDash,DD-54288736,2026-02-14 21:08:40,Completed,Delivery,37.00,4.44,1.85,2.59,3.00,-9.25,0.25,0.00,0.00,0.00,0.00,0.00,27.75,2026-02-17,2,Returning,21.4,28.9,5.0,
